,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Concrete Mix,Has Basement,Has Transfer Deck,Cladding Type,Grid_X,Grid_Y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,140800.0,0.0,,Office,0.0,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,140800.0,0.0,,Office,0.0,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,140800.0,0.0,,Office,0.0,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,140800.0,0.0,,Office,0.0,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,140800.0,0.0,,Office,0.0,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,140800.0,0.0,,Office,0.0,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,140800.0,,,Office,,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
7,218.05748716752,15.103548894720001,0.47505381132924007,1.227163347696,1.7022171590252402,0.0,245.6087884829671,247.31100564199232,Composite Rolled Steel with Metal Decking,,140800.0,94397.180592,,Office,0.0,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
8,,,,,,,,,Composite Cell Beams with Metal Decking,,140800.0,,,Office,0.0,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
9,32243.054476567886,4317.752465289963,461.9177074606992,15879.58702726512,16341.504734725819,-10152.241803232093,37633.23341225527,39370.21215309728,Steel Frame with CLT Slabs,118623886.2523,140800.0,99634090.42947488,273.17898164787994,Office,126.72220000000002,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
10,28225.664751099386,4353.744554001689,569.189769132109,34710.12016725214,35279.30993638423,-10942.66225979782,33966.82404812227,36189.795424506534,"CLT, Glulam and Steel Column Hybrid",114301102.2116,140800.0,121444786.21487889,246.92423127559184,Office,149.60000000000002,22,C32/40 - CEM I (OPC),No,Yes,PC Cladding,10,10
0,49751.494849044604,4111.736295531151,2674.061838815617,6908.056108873478,9582.117947689092,10459.48899638464,57182.34674561379,66764.46469330289,RC Flat Slab,159636604.7085,353970.0,685478402.0940076,164.7026668321422,Residential,102.74,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
1,39611.97518022223,3509.852979369779,2271.3285400175787,5867.711770199955,8139.040310217532,7572.343556453454,45795.392764658,53934.433074875546,PT RC Flat Slab,168866960.2956,353970.0,604649444.7789661,132.71594057893867,Residential,101.20000000000002,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
2,39909.1616891918,3410.1326299843904,2119.016289087934,5474.257371375242,7593.273660463174,8535.130068279537,45976.18860899651,53569.462269459706,RC Rib Slab,159112355.1407,353970.0,568042643.8107982,133.03380256796103,Residential,110.55000000000001,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
3,42692.4443577049,3508.588035626629,2099.9664284923674,5425.047597357878,7525.014025850241,10021.117629952443,49007.02371235043,56532.0377382007,Two-way RC Slab,140976550.544,353970.0,564318674.7438309,141.23756127965288,Residential,110.55000000000001,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
4,44896.012922939575,3821.6688794788943,2478.4162682340316,6402.662682631926,8881.078950865956,9091.858354566266,51727.05927279877,60608.138223664726,One-Way Spanning RC,155794618.3784,353970.0,646137634.2320957,149.21496624416693,Residential,111.1,22,C32/40 - 75% GGBS,Yes,Yes,PC Cladding,9,9
