,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Concrete Mix,Has Basement,Has Transfer Deck,Cladding Type,Grid_X,Grid_Y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,364500.0,0.0,0.0,,Healthcare,0.0,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
1,50081.164976224674,4210.324047844958,2784.6333462930565,7193.664641659052,9978.297987952106,10030.301626708078,57652.72111843566,67631.01910638777,PT RC Flat Slab,204587935.5654,364500.0,713042111.2497082,1432.1155489580626,162.09831733167002,Healthcare,127.80000000000001,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
2,54346.413977079064,4404.438586119295,2822.6977550581514,7291.992970312056,10114.690725370207,11947.621409023668,62355.15464809409,72469.8453734643,RC Rib Slab,198900765.4967,364500.0,722395507.7374833,1392.3053584769766,174.89015090965998,Healthcare,135.6,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
3,57949.400595904626,4517.000894866662,2780.5637354225887,7183.1519856598325,9963.71572108242,13964.746841982693,66259.9216664929,76223.63738757533,Two-way RC Slab,180586232.1862,364500.0,712975474.7614124,1264.1036253031025,185.2510981942277,Healthcare,134.39999999999998,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
4,59603.09257445968,4775.572772528318,3155.1382714459555,8150.756350946224,11305.89462239218,12782.7844741329,68344.45885016506,79650.35347255722,One-Way Spanning RC,194947147.1228,364500.0,788158244.9210576,1364.6300298594736,191.24578567907966,Healthcare,137.39999999999998,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
5,60226.40652896573,4144.309945177249,2772.4615437975744,7162.222330195314,9934.68387399289,9300.605855023226,67336.96102347791,77271.6448974708,Precast Hollowcore with In-situ RC Beams,173806593.6629,364500.0,711016540.7136831,1216.6461556400773,188.075739860406,Healthcare,130.8,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
6,74252.42307247919,7572.420286470436,2216.365243122149,5727.1240302494525,7943.489273371597,-7591.522038186851,84043.26746281238,91986.75673618395,Non-Composite Rolled Steel with PCC Planks,281106140.3219,364500.0,591860238.1066974,1967.7429822530287,235.96985032939756,Healthcare,141.8472,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
7,66114.88339101091,7015.845421828173,1809.0348617073505,4675.02578846774,6484.06065017509,-11746.306654359158,75355.17685011638,81839.23750029143,Composite Rolled Steel with Metal Decking,261525104.7332,364500.0,502937768.34367245,1830.6757331326287,211.75816895267215,Healthcare,141.3,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
8,73433.88352661971,7924.915206676837,1958.6236483134235,5061.66660966875,7020.290257982171,-13089.489596168016,83797.63603304324,90817.92629102539,Composite Cell Beams with Metal Decking,295561503.9619,364500.0,541801450.7084641,2068.930527733175,235.57357081145793,Healthcare,142.8,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
9,61066.03431494434,10744.27555004361,1428.1526830021528,48788.08114257323,50216.233825575386,-22313.98815826479,74080.03916704492,79447.53904766613,Steel Frame with CLT Slabs,271869082.9903,364500.0,427674658.2501624,1903.0835809321557,208.45849862270802,Healthcare,143.136,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
10,51430.95097364648,10173.374853901028,1493.4634830402606,66790.73030797153,68284.1937910118,-21637.778684613313,64006.28474445534,69705.30365546717,"CLT, Glulam and Steel Column Hybrid",312110485.4571,364500.0,441386402.3266756,2184.7733981999195,181.5941238481626,Healthcare,154.56,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9,9
0,34005.86501887683,1705.136415276286,1158.9377996508667,2993.8910159290804,4152.828815579947,4530.270279419127,37808.98619348151,41961.81500906145,RC Flat Slab,66621371.6718,118098.0,282733515.33964,466.34960170250736,324.0980862942982,Office,128.70000000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
1,27919.09542965292,1418.6976857035295,977.0095841668276,2523.932386760178,3500.941970927004,3424.182465660512,31065.139196384753,34566.08116731175,PT RC Flat Slab,69407609.3903,118098.0,240589883.66750836,485.85326573238405,267.1594138945379,Office,127.27000000000001,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
2,30233.53769074656,1520.6749320092938,1031.6765144846765,2665.1485008450322,3696.825015329709,4019.449040213558,33619.744910266476,37316.56992559617,RC Rib Slab,69835830.9517,118098.0,252394565.3437605,488.8508166620617,288.8160318288924,Office,135.85000000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
3,29782.51761212022,1499.3377503410363,990.1246368538306,2557.811310740513,3547.935947594342,4275.446710071536,33114.61136284937,36662.54731044371,Two-way RC Slab,61469574.4406,118098.0,243607188.6878729,430.28702108411323,284.04289982839236,Office,133.9,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
4,34133.22414982868,1708.2870086278049,1184.6944880677756,3060.42592887887,4245.120416946646,4289.152128902519,37951.405220047,42196.52563699364,One-Way Spanning RC,69247527.3243,118098.0,287494310.337189,484.73269126995575,325.4596852725445,Office,137.15,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
5,30586.51270254929,1460.3016521957622,1030.4179692564217,2661.8974153075633,3692.3153845639845,3299.560403648857,33625.57569893083,37317.8910834948,Precast Hollowcore with In-situ RC Beams,62411321.8766,118098.0,251556773.58399743,436.87925313636146,288.42533279197943,Office,131.3,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9,9
