,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Has Basement,Has Transfer Deck,Grid_X,Grid_Y
0,7271.4301953394215,323.2583332066329,235.8638254716997,609.6076457644243,845.4714712361239,658.7553933550616,8039.248545544641,8884.720016780766,RC Flat Slab,13909409.1532,25088.0,56702313.809684016,97.36586407207221,324.3229595669927,Education,10.280000000000001,2,No,No,8,8
1,6958.4794353727675,310.46865800355516,232.52809720137708,600.9907620060152,833.5188592073923,534.3371647430962,7695.610938144948,8529.12979735234,PT RC Flat Slab,16075393.4018,25088.0,56037494.94612256,112.52775381274294,311.2300180148952,Education,10.270000000000001,2,No,No,8,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,25088.0,0.0,0.0,,Education,0.0,2,No,No,8,8
3,6937.466223660422,322.58840991301446,184.46999647396467,476.8466369277517,661.3166334017164,1287.553117641609,7677.229695356365,8338.546328758082,Two-way RC Slab,14198817.8901,25088.0,46097165.21180308,99.39172523075267,309.97374922620844,Education,11.450000000000001,2,No,No,8,8
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,25088.0,0.0,0.0,,Education,0.0,2,No,No,8,8
5,5646.891826722873,260.10619504528125,185.66008869388077,479.92089402837945,665.5809827222604,463.9245041300351,6191.478953844062,6857.059936566326,Precast Hollowcore with In-situ RC Beams,13406222.465,25088.0,46441960.28870386,93.84355725506742,250.53103121409157,Education,10.700000000000001,2,No,No,8,8
6,5487.890380748873,366.4714410472933,158.82367900877992,410.6450726550041,569.468751663784,-188.12988553001637,6046.8191707704955,6616.28792243428,Non-Composite Rolled Steel with PCC Planks,16576483.0691,25088.0,41084845.44770322,116.03538148368044,245.64949586472324,Education,11.525,2,No,No,8,8
7,5074.534436350593,383.98984939906313,115.09135081425384,297.70702221145547,412.7983730257093,-693.811056741401,5659.880125873676,6072.678498899384,Composite Rolled Steel with Metal Decking,17041694.8646,25088.0,32279394.84901105,119.29186405236345,230.3560263841693,Education,10.967,2,No,No,8,8
8,,,,,,,,,Composite Cell Beams with Metal Decking,,25088.0,,,,Education,11.1112,2,No,No,8,8
9,4093.0129873159012,637.8793069807574,83.24597888201538,2956.720048507164,3039.966027389179,-1391.076683514937,4891.496740156099,5205.284582020305,Steel Frame with CLT Slabs,18191401.6254,25088.0,25859187.258333713,127.33981137762031,200.04928856559786,Education,11.366,2,No,No,8,8
10,3443.3364958455218,710.9235628348239,86.43432922914138,6144.914156921967,6231.348486151109,-1794.395591163057,4340.845788465787,4683.501641016897,"CLT, Glulam and Steel Column Hybrid",19327665.5247,25088.0,26501589.795804232,135.29365867281098,178.417548116175,Education,12.64,2,No,No,8,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,306432.0,0.0,0.0,,Education,0.0,8,Yes,No,8,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,306432.0,0.0,0.0,,Education,0.0,8,Yes,No,8,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,306432.0,0.0,0.0,,Education,0.0,8,Yes,No,8,8
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,306432.0,0.0,0.0,,Education,0.0,8,Yes,No,8,8
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,306432.0,0.0,0.0,,Education,0.0,8,Yes,No,8,8
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,306432.0,0.0,0.0,,Education,0.0,8,Yes,No,8,8
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,306432.0,,,,Education,47.558400000000006,8,Yes,No,8,8
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,306432.0,,,,Education,43.900000000000006,8,Yes,No,8,8
8,,,,,,,,,Composite Cell Beams with Metal Decking,,306432.0,,,,Education,45.35088,8,Yes,No,8,8
9,,,,,,,,,Steel Frame with CLT Slabs,,306432.0,,,,Education,46.1608,8,Yes,No,8,8
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,306432.0,,,,Education,52.480000000000004,8,Yes,No,8,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,20160.0,0.0,0.0,,Education,0.0,2,Yes,Yes,10,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,20160.0,0.0,0.0,,Education,0.0,2,Yes,Yes,10,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,20160.0,0.0,0.0,,Education,0.0,2,Yes,Yes,10,10
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,20160.0,0.0,0.0,,Education,0.0,2,Yes,Yes,10,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,20160.0,0.0,0.0,,Education,0.0,2,Yes,Yes,10,10
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,20160.0,0.0,0.0,,Education,0.0,2,Yes,Yes,10,10
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,20160.0,,,,Education,11.8518,2,Yes,Yes,10,10
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,20160.0,,,,Education,11.281400000000001,2,Yes,Yes,10,10
8,,,,,,,,,Composite Cell Beams with Metal Decking,,20160.0,,,,Education,11.5284,2,Yes,Yes,10,10
9,,,,,,,,,Steel Frame with CLT Slabs,,20160.0,,,,Education,11.5006,2,Yes,Yes,10,10
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,20160.0,,,,Education,13.36,2,Yes,Yes,10,10
0,32382.25390500078,1719.2782385851253,971.6662541057603,2510.322157477064,3481.9884115828227,3173.2305189648855,36063.16826375896,39545.15667534181,RC Flat Slab,56057631.8556,130680.0,300429082.402964,392.4034229890907,278.96825594389384,Education,50.25,10,Yes,No,6,6
1,26538.63152893767,1510.1916807708706,814.6153287831864,2104.6267716462717,2919.2421004294583,2358.755372456169,29659.8560572437,32579.098157673157,PT RC Flat Slab,58386636.0374,130680.0,269165565.21485084,408.7064522616343,230.0930709328538,Education,49.35000000000001,10,Yes,No,6,6
2,22369.02712570764,1364.9693617380685,670.261533437999,1731.730728032275,2401.9922614702737,2291.743197591423,25089.269130509725,27491.26139197999,RC Rib Slab,52881106.3156,130680.0,239277061.5070699,370.16774420919177,194.82274927088247,Education,52.75,10,Yes,No,6,6
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,130680.0,0.0,0.0,,Education,0.0,10,Yes,No,6,6
4,23120.25333523602,1392.6452303006104,688.0257742990831,1777.619477400202,2465.6452516992845,2435.063269300618,25912.822828317752,28378.46808001704,One-Way Spanning RC,50401419.1494,130680.0,242820425.85506135,352.80993404555403,200.99198624398,Education,54.5,10,Yes,No,6,6
