,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Has Basement,Has Transfer Deck,Grid_X,Grid_Y,Bays_X,Bays_Y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,471744.0,0.0,0.0,,Office,0.0,27,Yes,No,12,12,13.0,9.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,471744.0,0.0,0.0,,Office,0.0,27,Yes,No,12,12,13.0,9.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,471744.0,0.0,0.0,,Office,0.0,27,Yes,No,12,12,13.0,9.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,1154088,471744.0,0.0,0.0,,Office,0.0,27,Yes,No,12,12,13.0,9.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,471744.0,0.0,0.0,,Office,0.0,27,Yes,No,12,12,13.0,9.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,471744.0,0.0,0.0,,Office,0.0,27,Yes,No,12,12,13.0,9.0
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,471744.0,,,,Office,,27,Yes,No,12,12,13.0,9.0
7,666.0316366704001,46.132061414400006,1.4509974941748003,3.74822998992,5.1992274840948,0.0,750.1839331399516,755.3831606240464,Composite Rolled Steel with Metal Decking,,471744.0,288325.38384,0.0,,Office,0.0,27,Yes,No,12,12,13.0,9.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,471744.0,,0.0,,Office,0.0,27,Yes,No,12,12,13.0,9.0
9,109702.5738517769,14079.974864843927,1884.3945001818124,54575.18657692399,56459.58107710581,-28609.733303389796,128046.6074699174,135075.08395986725,Steel Frame with CLT Slabs,364553198.0489,471744.0,545211832.946168,2551.872386342551,276.8418461204805,Office,155.2581,27,Yes,No,12,12,13.0,9.0
10,101817.71438429535,13817.972103894828,2222.6773031101284,95612.07793003962,97834.75523314974,-28548.877176082166,120792.3444480204,129252.77276917017,"CLT, Glulam and Steel Column Hybrid",333689829.8944,471744.0,615376799.4647269,2335.828809260452,261.0063366090101,Office,176.04000000000002,27,Yes,No,12,12,13.0,9.0
0,20899.00556847293,1051.799797927781,608.2169201253247,1571.3178756752397,2179.5347958005655,2321.20436601507,23213.422464186926,25392.957259987474,RC Flat Slab,42830246.0248,123120.0,178593808.2676555,299.81172217343664,190.9781853992882,Residential,81.63,18,Yes,No,6,6,15.0,12.0
1,20030.631920636788,1018.9796248700675,588.9835830754984,1521.6341436041535,2110.6177266796517,2134.820017673129,22260.83935844926,24371.4570851289,PT RC Flat Slab,51192070.3187,123120.0,174677758.87051475,358.3444922311902,183.71656798798284,Residential,81.45,18,Yes,No,6,6,15.0,12.0
2,19003.645976999465,981.7266337725171,555.4904349367183,1435.1143371850492,1990.6047721217676,2085.4915345315226,21133.963050363727,23124.56782248549,RC Rib Slab,46732267.9111,123120.0,167568932.5710447,327.12587537741405,174.3103389030307,Residential,83.25,18,Yes,No,6,6,15.0,12.0
3,18717.153024372623,979.026669363657,524.7231527384612,1355.636012579517,1880.3591653179783,2412.8214394941065,20823.585357494878,22703.944522812846,Two-way RC Slab,37464290.7831,123120.0,161506713.4588337,262.2500354819949,171.26247070319098,Residential,82.80000000000001,18,Yes,No,6,6,15.0,12.0
4,19309.79871408205,993.0711133609634,562.4290820305283,1453.0383137810807,2015.4673958116084,2148.691173016728,21469.60533857388,23485.07273438549,One-Way Spanning RC,41617324.3391,123120.0,168947700.00150868,291.32127037345543,176.74566771399722,Residential,84.14999999999999,18,Yes,No,6,6,15.0,12.0
5,24321.338891436775,1151.0826897376498,710.5783721892063,1835.7389142903335,2546.3172864795392,2295.4306445003585,26656.3471398526,29202.664426332132,Precast Hollowcore with In-situ RC Beams,49398207.2966,123120.0,200166185.71464097,345.78745107602975,219.31558309721112,Residential,84.14999999999999,18,Yes,No,6,6,15.0,12.0
6,19560.23248686342,1459.4389341058131,486.260483525199,1256.4793884443138,1742.7398719695127,-758.7183287563844,21753.9620694551,23496.70194142461,Non-Composite Rolled Steel with PCC Planks,61808658.3785,123120.0,154409706.52112222,432.6606086495937,180.20323812625645,Residential,87.0372,18,Yes,No,6,6,15.0,12.0
7,21889.058016679923,1537.9930157069718,447.19319797669334,1155.6525087725456,1602.8457067492386,-2486.3395685042797,24327.43396128015,25930.27966802937,Composite Rolled Steel with Metal Decking,60430874.5157,123120.0,146250778.93874907,423.01612161014134,201.0270474568737,Residential,86.994,18,Yes,No,6,6,15.0,12.0
8,24125.759813165787,1858.171140065138,452.70145709914357,1169.9821478776703,1622.6836049768137,-3257.008063044579,26908.506656902762,28531.19026187957,Composite Cell Beams with Metal Decking,72176123.8346,123120.0,147304046.02587587,505.23286684224774,222.6587030843487,Residential,84.14567999999998,18,Yes,No,6,6,15.0,12.0
9,13748.608555052515,2157.24997823941,263.4631804346468,11465.022372584443,11728.485553019089,-4248.852436300009,16523.512179076715,17527.300484389387,Steel Frame with CLT Slabs,55146627.8619,123120.0,108515612.00543715,386.02639503313566,137.341931238709,Residential,86.112,18,Yes,No,6,6,15.0,12.0
10,13193.794196932158,2320.750592562434,271.27169452225036,16092.783624226457,16364.055318748702,-4986.415266775946,16173.579333985997,17230.64086073471,"CLT, Glulam and Steel Column Hybrid",55818774.6109,123120.0,110086458.45863408,390.73142227607235,134.53793661681343,Residential,87.75,18,Yes,No,6,6,15.0,12.0
0,51958.99182314983,1918.847442362619,1528.4329816403329,3948.4230255346697,5476.856007175003,5284.844591465521,57018.76302038478,62495.61902755979,RC Flat Slab,80624916.9935,144210.0,320998635.2740148,564.3744189545718,399.30058553040254,Office,116.26500000000001,23,No,No,6,6,5.0,19.0
1,41055.902522406344,1502.951682708212,1227.8554082660426,3171.968290538988,4399.82369880503,3885.398762487004,45044.310938531475,49444.134637336494,PT RC Flat Slab,80607049.2309,144210.0,255878845.21436107,564.2493446163867,316.26489344114736,Office,114.19500000000002,23,No,No,6,6,5.0,19.0
2,37370.737533875734,1375.2413695363568,1096.1784389373665,2831.819139764464,3927.9975787018293,3891.3644267002287,41004.68125282148,44932.678831523306,RC Rib Slab,76236628.1578,144210.0,228527269.0432791,533.6563971043267,288.04061888860554,Office,123.625,23,No,No,6,6,5.0,19.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,144210.0,0.0,0.0,,Office,0.0,23,No,No,6,6,5.0,19.0
4,38626.251050798135,1421.3232259695317,1128.328954601791,2914.8706457033654,4043.1996003051554,4091.7051457371235,42381.32860907868,46424.52820938384,One-Way Spanning RC,75313054.6657,144210.0,235051479.4507175,527.1913826598819,297.5419179789097,Office,127.65000000000002,23,No,No,6,6,5.0,19.0
