Project No,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Concrete Mix,Has Basement,Has Transfer Deck,Cladding Type,Grid_X
0,67631.01910638777,PT RC Flat Slab,204587935.5654,364500.0,713042111.2497082,1432.1155489580626,162.09831733167002,Healthcare,127.8,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9
1,72469.8453734643,RC Rib Slab,198900765.4967,364500.0,722395507.7374833,1392.3053584769766,174.89015090965998,Healthcare,135.6,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9
2,76223.63738757533,Two-way RC Slab,180586232.1862,364500.0,712975474.7614124,1264.1036253031025,185.2510981942277,Healthcare,134.39999999999998,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9
3,79650.35347255722,One-Way Spanning RC,194947147.1228,364500.0,788158244.9210576,1364.6300298594736,191.2457856790797,Healthcare,137.39999999999998,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9
4,77271.6448974708,Precast Hollowcore with In-situ RC Beams,173806593.6629,364500.0,711016540.7136831,1216.6461556400773,188.075739860406,Healthcare,130.8,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9
6,81839.23750029143,Composite Rolled Steel with Metal Decking,261525104.7332,364500.0,502937768.34367245,1830.6757331326287,211.75816895267212,Healthcare,141.3,24,C32/40 - 75% GGBS,Yes,Yes,Cavity Wall,9
10,41961.81500906145,RC Flat Slab,66621371.6718,118098.0,282733515.33964,466.34960170250736,324.0980862942982,Office,128.70000000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
11,34566.08116731175,PT RC Flat Slab,69407609.3903,118098.0,240589883.6675084,485.8532657323841,267.1594138945379,Office,127.27,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
12,37316.56992559617,RC Rib Slab,69835830.9517,118098.0,252394565.3437605,488.8508166620617,288.8160318288924,Office,135.85000000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
13,36662.54731044371,Two-way RC Slab,61469574.4406,118098.0,243607188.6878729,430.2870210841132,284.0428998283924,Office,133.9,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
14,42196.52563699364,One-Way Spanning RC,69247527.3243,118098.0,287494310.337189,484.73269126995575,325.4596852725445,Office,137.15,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
15,37317.8910834948,Precast Hollowcore with In-situ RC Beams,62411321.8766,118098.0,251556773.58399743,436.8792531363615,288.42533279197943,Office,131.3,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
16,38178.478229728265,Non-Composite Rolled Steel with PCC Planks,90804698.326,118098.0,217963281.82738385,635.6328882823137,302.2074692905846,Office,141.50500000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
17,38750.97722944115,Composite Rolled Steel with Metal Decking,90345927.9963,118098.0,203682449.66524932,632.421495973909,309.2164941311671,Office,140.84720000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
18,37793.57349952503,Composite Cell Beams with Metal Decking,92383708.431,118098.0,193602460.49828875,646.685959016833,302.7180526259869,Office,136.25924,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
19,32169.75831289348,Steel Frame with CLT Slabs,85215450.9891,118098.0,165786174.41359437,596.5081569240318,257.9573490088562,Office,140.4676,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
20,31480.1683886596,"CLT, Glulam and Steel Column Hybrid",98958471.4318,118098.0,175217707.79922634,692.7093000224531,251.33971394435457,Office,149.76000000000002,26,C32/40 - 25% GGBS,Yes,Yes,Curtain Walling,9
21,5974.244210787669,RC Flat Slab,8806702.9645,19584.0,30138669.8724382,61.646920751277925,281.934461618452,Office,84.15,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
22,5037.347947659732,PT RC Flat Slab,9480511.9752,19584.0,26324124.674970504,66.36358382625693,237.8243512344001,Office,83.215,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
23,5043.68691408304,RC Rib Slab,9421777.8163,19584.0,25341332.35191363,65.95244471378541,238.92714707938555,Office,88.825,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
24,5178.919787778387,Two-way RC Slab,8426336.8518,19584.0,25313249.750351142,58.984357962732304,245.50678394291745,Office,88.825,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
25,5574.072569990311,One-Way Spanning RC,8847528.9607,19584.0,28447492.192126453,61.932702725241626,263.07265109439305,Office,89.25,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
26,5021.197620578038,Precast Hollowcore with In-situ RC Beams,8550203.102,19584.0,26010946.191826686,59.851421713674696,236.82914680030328,Office,85.0,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
27,4937.039560407516,Non-Composite Rolled Steel with PCC Planks,11907052.1811,19584.0,21959663.39223188,83.34936526795238,237.29162339550632,Office,93.551,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
28,5159.65603626741,Composite Rolled Steel with Metal Decking,12210802.8851,19584.0,18963927.0449935,85.47562019568733,251.56265288844492,Office,90.8565,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
29,5593.819033025922,Composite Cell Beams with Metal Decking,14183986.134,19584.0,19263851.25767699,99.28790293822888,274.1572265693724,Office,90.74668,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
30,4062.5186750242433,Steel Frame with CLT Slabs,11647462.0733,19584.0,13542160.298283543,81.53223451330147,199.6020277290796,Office,91.4362,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
31,4154.9494718026135,"CLT, Glulam and Steel Column Hybrid",14826869.779,19584.0,15375288.135075629,103.78808845323024,203.57685677726624,Office,95.88,17,C32/40 - CEM I (OPC),No,No,Lightweight Cladding,8
36,6058.094484889007,RC Flat Slab,16205855.2785,20196.0,61024720.55981276,113.4409869495556,264.5774253491324,Office,5.12,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
37,4814.885830460348,PT RC Flat Slab,16567844.4678,20196.0,53157415.64466282,115.97491127463098,210.01386292517407,Office,4.995,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
38,4497.18086855752,RC Rib Slab,15435825.5604,20196.0,49212036.59913114,108.05077892302876,197.4159122398804,Office,5.6000000000000005,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
39,5513.728734763316,Two-way RC Slab,15984203.8871,20196.0,51560934.45196789,111.88942720982052,245.84190760708572,Office,5.5,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
40,4906.594687745903,One-Way Spanning RC,15173378.8035,20196.0,52541936.26189643,106.21365162444748,214.6228673149327,Office,5.65,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
41,5047.708335696376,Precast Hollowcore with In-situ RC Beams,15174920.2654,20196.0,51360093.546085045,106.2244418578412,222.66492541710676,Office,5.2250000000000005,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
42,5511.974805121718,Non-Composite Rolled Steel with PCC Planks,18226736.4049,20196.0,48506439.25192405,127.58715483450403,249.26132138409884,Office,5.6021,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
43,4726.239486176047,Composite Rolled Steel with Metal Decking,17139188.0754,20196.0,42252648.734844536,119.97431652753336,215.56750055364284,Office,5.487500000000001,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
44,5122.27343282647,Composite Cell Beams with Metal Decking,19017644.5376,20196.0,42562682.42455908,133.12351176349432,235.5515500266301,Office,5.449059999999999,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
45,4576.788567191571,Steel Frame with CLT Slabs,18423032.0221,20196.0,37800791.841596216,128.96122415444603,211.9082060141179,Office,5.554,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
46,3967.6570860150296,"CLT, Glulam and Steel Column Hybrid",20660337.9273,20196.0,37690974.38820271,144.6223654913912,182.2926148796566,Office,5.92,1,C32/40 - 50% GGBS,No,No,Cavity Wall,9
51,1339.8267333997803,RC Flat Slab,3690434.047,6720.0,12943538.766669637,25.83303832917497,172.4511824669881,Office,20.48,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10
52,1269.5031648570732,PT RC Flat Slab,4403760.2522,6720.0,13007718.23616504,30.82632176546874,162.5446313853616,Office,20.520000000000003,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10
53,1478.3530245793672,Two-way RC Slab,3775794.1052,6720.0,11171160.35287157,26.43055873652814,197.8619589375116,Office,23.1,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10
54,1241.8258129422943,Precast Hollowcore with In-situ RC Beams,3366636.1402,6720.0,10590550.697226468,23.566452981366435,163.6622555296743,Office,21.700000000000003,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10
55,1431.5094710820313,Non-Composite Rolled Steel with PCC Planks,4476918.2016,6720.0,9212343.397767317,31.33842741095708,196.6875767059984,Office,23.7036,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10
56,1259.0090294635754,Composite Rolled Steel with Metal Decking,4695514.1211,6720.0,6682503.397143875,32.86859884736962,177.89981003124015,Office,22.279200000000003,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10
57,1316.169459383526,Steel Frame with CLT Slabs,5316645.9306,6720.0,5280745.834193087,37.21652151402424,190.25687646154037,Office,22.732,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10
58,1019.3434422975528,"CLT, Glulam and Steel Column Hybrid",4791058.5606,6720.0,5571983.01680327,33.537409924086425,144.1977060222609,Office,25.92,4,C32/40 - 75% GGBS,No,No,Curtain Walling,10
59,2316.584179973638,RC Flat Slab,5884165.9744,11088.0,31879399.189596623,41.18916182061677,186.3947113541676,Residential,22.775,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
60,2155.124547697674,PT RC Flat Slab,6185814.7132,11088.0,31162367.45632632,43.3007029922741,173.18960525982152,Residential,22.625,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
61,2129.5805325296487,RC Rib Slab,6124235.8441,11088.0,30830939.68811214,42.8696509088665,171.38598007754237,Residential,23.375,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
62,2126.8150497999222,Two-way RC Slab,5370079.2247,11088.0,30388469.08562744,37.59055457316217,171.38682006163316,Residential,23.25,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
63,2158.7154438566536,One-Way Spanning RC,5746240.2478,11088.0,30999974.52271512,40.22368173471338,173.50681910780915,Residential,23.75,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
64,2532.410964760006,Precast Hollowcore with In-situ RC Beams,6329972.4307,11088.0,32850018.960723244,44.30980701479946,204.801011359786,Residential,23.375,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
65,2277.961311681004,Non-Composite Rolled Steel with PCC Planks,6730442.9142,11088.0,30203969.64015919,47.1131003993619,186.2351198553346,Residential,24.4,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
66,2410.0903601881896,Composite Rolled Steel with Metal Decking,6831103.2183,11088.0,29664244.66049218,47.8177225282694,199.03887998193696,Residential,24.192,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
67,2517.43884004168,Composite Cell Beams with Metal Decking,7327997.7585,11088.0,29684690.260123443,51.29598430978574,209.00096807029223,Residential,23.3738,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
68,2077.279918309535,Steel Frame with CLT Slabs,7068483.1363,11088.0,27588150.94621499,49.47938195382901,172.18350228985798,Residential,24.165,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
69,2046.443184308788,"CLT, Glulam and Steel Column Hybrid",6865776.0775,11088.0,27696090.818428613,48.06043254250351,168.93470499924015,Residential,24.575,5,C32/40 - 50% GGBS,Yes,Yes,Timber Cladding,6
70,7328.693608162231,RC Flat Slab,14917858.7979,26620.0,71530343.92538308,104.42501158558572,246.10329439123552,Office,50.55,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
71,6112.666266720203,PT RC Flat Slab,15675183.6876,26620.0,65227087.217730224,109.72628581301738,204.8134465659682,Office,49.650000000000006,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
72,6604.19894397942,RC Rib Slab,15399019.0373,26620.0,67404956.51532623,107.793133261308,221.78777041090729,Office,55.0,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
73,6960.446357297773,Two-way RC Slab,14553307.8558,26620.0,67723868.93047103,101.87315499054992,234.7008536232237,Office,54.0,10,C32/40 - 50% GGBS,Yes,Yes,Cavity Wall,11
