Project No,Total A1-A5w,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Storeys,Grid_X,Grid_Y,Bays_X,"Typology_CLT, Glulam and Steel Column Hybrid",Typology_Composite Cell Beams with Metal Decking,Typology_Composite Rolled Steel with Metal Decking,Typology_Non-Composite Rolled Steel with PCC Planks,Typology_One-Way Spanning RC,Typology_PT RC Flat Slab,Typology_Precast Hollowcore with In-situ RC Beams,Typology_RC Flat Slab,Typology_RC Rib Slab,Typology_Steel Frame with CLT Slabs,Typology_Two-way RC Slab,Building Use_Education,Building Use_Healthcare,Building Use_Office,Building Use_Residential,Has Basement_No,Has Basement_Yes,Has Transfer Deck_No,Has Transfer Deck_Yes
2,23213.42246418693,42830246.0248,123120.0,178593808.2676555,299.81172217343664,190.9781853992882,18,6,6,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
3,22260.83935844926,51192070.3187,123120.0,174677758.87051475,358.3444922311902,183.71656798798284,18,6,6,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
4,21133.963050363727,46732267.9111,123120.0,167568932.5710447,327.12587537741405,174.3103389030307,18,6,6,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
5,20823.58535749488,37464290.7831,123120.0,161506713.4588337,262.2500354819949,171.26247070319098,18,6,6,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
6,21469.60533857388,41617324.3391,123120.0,168947700.00150868,291.32127037345543,176.74566771399722,18,6,6,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
7,26656.3471398526,49398207.2966,123120.0,200166185.71464095,345.7874510760297,219.31558309721112,18,6,6,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
8,21753.9620694551,61808658.3785,123120.0,154409706.52112222,432.6606086495937,180.20323812625645,18,6,6,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
9,24327.43396128015,60430874.5157,123120.0,146250778.93874907,423.0161216101413,201.0270474568737,18,6,6,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
10,26908.50665690276,72176123.8346,123120.0,147304046.02587587,505.2328668422477,222.6587030843487,18,6,6,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
11,16523.512179076715,55146627.8619,123120.0,108515612.00543717,386.02639503313566,137.341931238709,18,6,6,15.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
12,16173.579333985996,55818774.6109,123120.0,110086458.45863408,390.7314222760724,134.53793661681345,18,6,6,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
13,57018.76302038478,80624916.9935,144210.0,320998635.2740148,564.3744189545718,399.30058553040254,23,6,6,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
14,45044.31093853148,80607049.2309,144210.0,255878845.21436107,564.2493446163867,316.26489344114736,23,6,6,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
15,41004.68125282148,76236628.1578,144210.0,228527269.0432791,533.6563971043267,288.04061888860554,23,6,6,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
16,42381.32860907868,75313054.6657,144210.0,235051479.4507175,527.1913826598819,297.5419179789097,23,6,6,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
17,44480.56598920304,74026202.5075,144210.0,249325997.58044925,518.1834175527547,312.0362624419651,23,6,6,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
18,49388.89368485265,111703465.5132,144210.0,232181249.30572444,781.9242585927166,347.90110216659986,23,6,6,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
19,42370.60040851724,99081709.9999,144210.0,172774397.21634194,693.5719699996221,298.6212632862968,23,6,6,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
20,42684.750021468826,108799902.3638,144210.0,161297541.1006713,761.599316546751,301.27140515925095,23,6,6,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
21,36709.93962086842,103293879.2829,144210.0,136281247.41118336,723.0571549804386,259.5728227990351,23,6,6,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
22,35955.340581387085,116783924.0431,144210.0,148359449.52297634,817.4874683014903,254.9949937569418,23,6,6,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
23,42313.73977232421,64898407.4051,153600.0,363181065.7770579,454.28885183535726,278.4376863552055,9,8,8,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
24,34925.058940437266,67758226.4965,153600.0,328672596.1925647,474.30758547572646,230.46462581974603,9,8,8,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
25,33053.28362763064,65062691.956,153600.0,311996575.46762544,455.4388436916896,218.1557452560048,9,8,8,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
26,35453.461804688646,59469199.3198,153600.0,316141790.8724073,416.2843952384682,233.5269934891088,9,8,8,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
27,35411.96877607688,60922107.5651,153600.0,326762056.0752028,426.4547529555431,233.3230698504715,9,8,8,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
28,34164.4658775118,62063416.9474,153600.0,323226233.7947876,434.4439186318262,225.25331898531007,9,8,8,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
29,33032.83063990779,79247074.6191,153600.0,291272625.4338023,554.7295223335274,218.66901147292523,9,8,8,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
30,33880.421561253934,79677359.1415,153600.0,270945796.2530108,557.7415139902123,224.2067908544541,9,8,8,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
31,28409.295557020985,80680196.3557,153600.0,240387132.2362404,564.7613744896253,188.6331831478556,9,8,8,12.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
32,27028.59598880189,97882763.3373,153600.0,243205057.6196552,685.1793433609577,180.4282248187685,9,8,8,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
33,5695.419324861263,9658840.0972,15400.0,64463071.04547764,67.61188068017108,374.2228055546386,3,10,10,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
34,5104.712173764022,10280415.1441,15400.0,61805465.2833392,71.96290600876013,336.14773245277803,3,10,10,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
35,5075.743352719525,9818346.6702,15400.0,61242440.260278895,68.72842669110692,334.0566090526384,3,10,10,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
36,5270.112274931707,9543575.882,15400.0,61194061.88510521,66.80503117416049,346.55307182505635,3,10,10,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
37,5404.208884151476,9565647.8927,15400.0,63314438.84294075,66.95953524873399,355.2706765844292,3,10,10,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
38,4961.888325088805,9444425.8194,15400.0,61117393.40693469,66.1109807361147,326.4934614172026,3,10,10,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
39,5071.309673354025,10893424.2685,15400.0,60043786.3484614,76.25396987961668,334.2573794307559,3,10,10,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
40,4828.635284223383,10806848.1856,15400.0,55732990.3273848,75.64793729925154,318.45994944952173,3,10,10,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
