Project Ref,"Calculation Design
Stage",UK District,GIFA (m2),Project Value (£m),Value Type,Project Sector,Construction Type,Storeys (#),Passivhaus?,Basement Type,Foundation Type,Ground Floor Type,Superstructure Type,Cladding Type,"Carbon A1-A3
(kgCO2e)","Carbon A1-A5
(kgCO2e)","Carbon A1-C4
(kgCO2e)","Carbon A1-D
(kgCO2e)","A1-A3 Rate
(kgCO2e/m2)","A1-A5 Rate
(kgCO2e/m2)","A1-C4 Rate
(kgCO2e/m2)","A1-D Rate
(kgCO2e/m2)","Construction Carbon
(A1-A5) (kgCO2e)","Construction %
Carbon (A1-A5)","Concrete Total Mass
(kg)","Concrete Total
Carbon (A1-A5)
(kgCO2e)","Concrete % Carbon
(A1-A5)","Masonry & Blockwork
Total Area (m2)","Masonry & Blockwork
Total Carbon (A1-A5)
(kgCO2e)","Masonry % Blockwork
% Carbon (A1-A5)","Reinforcement Total
Mass (kg)","Reinforcement Total
Carbon (A1-A5)
(kgCO2e)","Reinforcement %
Carbon (A1-A5)","Steel (Other) Total
Mass (kg)","Steel (Other) Total
Carbon (A1-A5)
(kgCO2e)","Steel (Other) %
Carbon (A1-A5)","Steel (Sections) Total
Mass (kg)","Steel (Sections) Total
Carbon (A1-A5)
(kgCO2e)","Steel (Sections) %
Carbon (A1-A5)","Timber (Plain) Total
Mass (kg)","Timber (Plain) Total
Carbon (A1-A5)
(kgCO2e)","Timber (Plain) %
Carbon (A1-A5)","Timber (Products)
Total Mass (kg)","Timber (Products)
Total Carbon (A1-A5)
(kgCO2e)","Timber (Products) %
Carbon (A1-A5)",Project Sector_Commercial,Project Sector_Cultural/Public,Project Sector_Educational,Project Sector_Healthcare,Project Sector_Industrial,Project Sector_Mixed Use,Project Sector_Other,Project Sector_Residential (Multi),Project Sector_Residential (Single),Project Sector_Science/Lab
1,Stage 4,OX4,5642,15.0,Whole Building,Residential (Multi),New Build (Greenfield),2,No,None,Mass Pads/Strips,Suspended Precast,Masonry/Timber,Masonry Only,776263,1136232,1269140,1220792,137.6,201.4,224.9,216.4,105000,0.092,2639542,212753,0.187,21635,654510,0.576,7617,16219,0.014,6150,19091,0.017,2450,3915,0.003,45863,17598,0.015,109390,107145,0.094,0,0,0,0,0,0,0,1,0,0
3,As-Built,TW3,9862,24.0,Whole Building,Educational,New Build (Brownfield),3,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,3119642,3637755,3812153,3365251,316.3,368.9,386.5,341.2,168000,0.046,13014984,1928667,0.53,7160,298775,0.082,541234,1152467,0.317,0,0,0.0,55614,88878,0.024,1947,968,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
5,Stage 3,N15,2290,2.0,Whole Building,Residential (Multi),New Build (Greenfield),3,No,None,Mass Pads/Strips,Suspended Precast,Masonry/Timber,Masonry Only,252796,328798,358757,343081,110.4,143.6,156.7,149.8,14000,0.043,999470,160833,0.489,4165,93293,0.284,0,0,0.0,0,0,0.0,30082,48074,0.146,25341,12597,0.038,0,0,0.0,0,0,0,0,0,0,0,1,0,0
6,Stage 3,BS16,1330,2.5,Whole Building,Residential (Multi),New Build (Brownfield),3,No,None,Mass Pads/Strips,Suspended Precast,Masonry/Timber,Masonry Only,276743,395560,435199,421671,208.1,297.4,327.2,317.0,17500,0.044,676453,93760,0.237,4112,246468,0.623,4662,9927,0.025,0,0,0.0,0,0,0.0,29509,11959,0.03,16280,15946,0.04,0,0,0,0,0,0,0,1,0,0
7,As-Built,IP31,1050,4.2,Whole Building,Cultural/Public,New Build (Greenfield),1,No,None,Mass Pads/Strips,Ground Bearing RC,Masonry/Timber,Masonry Only,296431,392868,438216,419961,282.3,374.2,417.3,400.0,29400,0.075,1734000,152248,0.388,3789,151058,0.384,5000,10647,0.027,0,0,0.0,25000,39953,0.102,27000,9563,0.024,0,0,0.0,0,1,0,0,0,0,0,0,0,0
8,Stage 5,SK17,876,1.5,Whole Building,Commercial,Mixed New Build/Refurb,3,No,Partial Footprint,Mass Pads/Strips,Suspended RC,Steel Frame/Precast,Masonry Only,239946,295119,316945,285115,273.9,336.9,361.8,325.5,10500,0.036,814220,97798,0.331,3669,82180,0.278,23639,50336,0.171,0,0,0.0,29421,47018,0.159,14660,7287,0.025,0,0,0.0,1,0,0,0,0,0,0,0,0,0
9,As-Built,W7,1400,4.5,Whole Building,Residential (Multi),New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Masonry/Concrete,Masonry Only,289488,378672,405200,385486,206.8,270.5,289.4,275.3,31500,0.083,1175125,156266,0.413,3395,137769,0.364,24955,53138,0.14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
10,As-Built,SN8,1534,9.0,Whole Building,Residential (Single),New Build (Greenfield),2,No,Partial Footprint,Raft,Suspended RC,Masonry/Concrete,Masonry/Stone,458585,603764,643842,580761,298.9,393.6,419.7,378.6,63000,0.104,1849680,221934,0.368,3056,141256,0.234,70058,149177,0.247,0,0,0.0,12948,20692,0.034,15500,7705,0.013,0,0,0.0,0,0,0,0,0,0,0,0,1,0
11,Stage 2,W6,1700,3.0,Whole Building,Residential (Multi),New Build (Brownfield),4,No,Full Footprint,Raft,Suspended RC,Masonry/Concrete,Masonry Only,510817,607903,639998,575344,300.5,357.6,376.5,338.4,21000,0.035,1645549,295658,0.486,2643,119513,0.197,76745,163416,0.269,0,0,0.0,5204,8316,0.014,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
12,As-Built,OX12,1975,12.3,Whole Building,Residential (Single),Mixed New Build/Refurb,3,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,838146,1028051,1107449,962694,424.4,520.5,560.7,487.4,86100,0.084,4394975,467267,0.455,2490,78249,0.076,174037,370583,0.36,0,0,0.0,11147,17814,0.017,16170,8038,0.008,0,0,0.0,0,0,0,0,0,0,0,0,1,0
13,Stage 4,CB2,300,3.0,Whole Building,Educational,New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Masonry/Timber,Masonry Only,171056,230019,244964,221828,570.2,766.7,816.5,739.4,21000,0.091,356375,47759,0.208,2470,97137,0.422,25085,53414,0.232,0,0,0.0,1727,2760,0.012,9320,4633,0.02,3385,3316,0.014,0,0,1,0,0,0,0,0,0,0
14,As-Built,SL6,648,6.0,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Piled Ground Beams,Suspended Precast,Masonry/Timber,Masonry/Stone,193785,280516,299575,269423,299.1,432.9,462.3,415.8,42000,0.15,542248,62808,0.224,2284,94921,0.338,18447,39280,0.14,7920,24585,0.088,6250,9988,0.036,13950,6935,0.025,0,0,0.0,0,0,0,0,0,0,0,0,1,0
16,As-Built,W1,7922,40.0,Whole Building,Commercial,New Build (Brownfield),7,No,Full Footprint,Raft,Suspended RC,Concrete (In-Situ),Masonry/Stone,2057079,2530339,2638266,2273561,259.7,319.4,333.0,287.0,280000,0.111,7707360,1142140,0.451,2160,109021,0.043,450204,958634,0.379,0,0,0.0,24180,38642,0.015,3825,1901,0.001,0,0,0.0,1,0,0,0,0,0,0,0,0,0
